47	47	0	72	20	4	1	0	1	9	0	
48	48	0	65	12	19	5	0	0	2	2	
49	49	0	60	14	6	0	0	0	0	8	
50	50	0	48	16	6	4	0	0	0	8	
51	51	0	31	18	8	9	0	0	0	13	
52	52	0	34	7	4	9	0	0	0	5	
53	53	0	33	8	8	0	2	7	0	4	
54	54	0	14	8	0	2	2	0	0	13	
55	55	0	4	4	1	0	0	1	2	12	
56	56	0	3	7	9	0	0	0	3	8	
57	57	0	11	8	0	0	3	0	0	7	
58	58	0	13	17	0	1	0	3	0	10	
59	59	0	18	19	3	5	0	2	4	6	
60	60	0	18	20	12	9	0	0	10	0	
61	61	0	17	3	31	12	0	1	1	0	
62	62	0	13	3	21	1	0	0	0	0	
63	63	0	6	0	2	0	4	1	1	0	
64	64	0	5	0	8	2	0	3	6	1	
65	65	0	7	0	6	1	0	19	0	3	
66	66	0	9	3	0	2	0	8	0	8	
67	67	0	11	3	4	1	0	43	15	3	
68	68	0	9	0	8	0	0	11	24	4	
69	69	0	5	0	0	0	1	7	35	2	
70	70	0	12	0	0	0	2	14	34	1	
71	71	0	11	0	0	0	0	9	33	0	
72	72	0	4	0	0	0	4	16	12	0	
73	73	0	6	0	1	0	0	19	18	0	
74	74	0	7	2	1	0	0	9	5	0	
75	75	0	10	5	0	0	0	0	5	0	
76	76	0	9	5	5	0	0	0	1	0	
77	77	0	15	1	1	0	1	0	2	1	
78	78	0	21	2	0	0	3	0	6	7	
79	79	0	11	15	2	2	0	0	2	15	
80	80	0	12	18	5	0	0	0	0	12	
81	81	0	16	27	7	0	0	0	0	16	
82	82	0	11	45	13	0	2	0	3	18	
83	83	0	8	45	5	2	0	0	8	5	
84	84	0	7	28	11	0	0	0	10	3	
85	85	0	8	28	0	0	0	7	11	0	
86	86	0	3	27	6	0	0	2	4	0	
87	87	0	8	18	3	0	0	2	0	0	
88	88	0	2	38	0	0	0	1	3	0	
89	89	0	2	44	0	0	0	0	0	0	
90	90	0	8	43	2	0	0	0	0	0	
91	91	0	7	40	0	0	0	0	0	2	
92	92	0	11	34	0	0	0	0	2	2	
93	93	0	9	43	0	0	0	0	4	2	
94	94	0	5	47	4	1	0	0	1	2	
95	95	0	0	47	3	4	0	0	0	0	
96	96	0	4	28	0	0	0	0	0	2	
97	97	0	0	18	0	1	0	0	0	3	
98	98	0	0	13	0	0	0	0	0	2	
99	99	0	2	8	0	0	0	0	0	3	
100	100	0	3	6	0	0	0	0	1	1	
101	101	0	0	6	0	0	0	0	2	2	
102	102	0	0	3	0	0	0	0	2	2	
103	103	0	0	0	0	0	0	0	2	7	
104	104	0	0	0	2	0	0	0	0	5	
105	105	0	2	0	1	0	0	8	1	0	
106	106	0	1	3	2	0	0	0	2	0	
107	107	0	2	2	0	0	0	2	0	0	
108	108	0	2	6	0	0	0	0	0	1	
109	109	0	4	6	1	0	0	0	0	3	
110	110	0	3	10	3	0	0	0	0	3	
111	111	0	5	9	11	0	0	0	0	2	
112	112	0	9	5	2	0	0	0	4	0	
113	113	0	7	6	2	0	0	0	10	0	
114	114	0	7	7	0	0	0	3	5	1	
115	115	0	8	11	1	0	0	0	0	0	
116	116	0	7	9	13	0	0	0	2	0	
117	117	0	6	8	12	0	0	16	9	0	
118	118	0	9	6	0	0	3	0	2	2	
119	119	0	6	6	0	0	0	0	6	2	
120	120	0	6	4	0	5	0	7	8	1	
121	121	0	9	9	0	7	0	0	1	0	
122	122	0	22	6	0	5	1	4	1	0	
123	123	0	16	3	0	11	0	0	2	8	
124	124	0	13	2	0	7	0	0	0	11	
125	125	0	9	1	0	0	0	0	0	8	
126	126	0	12	0	1	0	0	0	0	0	
127	127	0	11	2	4	0	2	2	0	2	
128	0	1	10	1	3	0	0	0	0	1	
129	1	1	13	2	0	0	0	0	0	10	
130	2	1	14	3	0	0	0	0	0	5	
131	3	1	5	7	0	1	0	7	8	5	
132	4	1	0	16	4	1	0	0	3	0	
133	5	1	1	23	2	0	8	0	6	1	
134	6	1	7	32	9	0	7	6	0	5	
135	7	1	5	35	11	0	0	0	0	0	
136	8	1	3	41	5	0	0	0	0	0	
137	9	1	4	45	0	0	0	0	2	0	
138	10	1	4	64	1	0	0	0	2	0	
139	11	1	7	69	5	0	0	2	1	0	
140	12	1	12	64	7	0	0	0	0	0	
141	13	1	13	59	45	0	0	0	2	0	
142	14	1	10	61	34	0	2	0	2	0	
143	15	1	16	69	15	1	2	0	0	0	
144	16	1	10	84	3	4	1	1	2	0	
145	17	1	19	55	5	0	0	1	1	0	
146	18	1	18	36	12	4	0	1	0	0	
147	19	1	16	9	8	0	0	0	0	0	
148	20	1	7	22	2	0	0	0	0	0	
149	21	1	5	35	0	0	2	0	0	1	
150	22	1	6	17	5	0	0	0	0	2	
151	23	1	3	25	2	0	3	2	0	1	
152	24	1	3	21	0	2	0	0	0	2	
153	25	1	1	12	0	0	0	0	0	4	
154	26	1	0	11	1	2	0	1	0	3	
155	27	1	1	4	0	0	0	2	0	4	
156	28	1	4	2	2	0	0	2	0	10	
157	29	1	2	3	1	1	12	10	0	20	
158	30	1	2	5	0	0	0	5	0	27	
159	31	1	6	7	0	0	11	0	2	23	
160	32	1	3	5	12	6	38	1	1	15	
161	33	1	7	2	9	5	1	4	3	9	
162	34	1	0	2	12	9	28	22	20	2	
163	35	1	0	1	20	6	0	5	2	8	
164	36	1	7	1	29	31	0	12	3	9	
165	37	1	0	16	15	20	0	0	15	10	
166	38	1	0	20	19	4	0	0	3	1	
167	39	1	4	12	8	0	0	0	2	7	
168	40	1	3	7	4	0	2	0	1	4	
169	41	1	7	10	4	0	0	0	1	4	
170	42	1	6	19	10	1	0	10	3	5	
171	43	1	7	26	9	1	0	2	0	0	
172	44	1	10	17	14	0	1	0	0	2	
173	45	1	15	10	82	0	1	0	1	3	
174	46	1	7	15	63	20	0	2	5	0	
175	47	1	7	6	11	9	0	0	3	0	
176	48	1	7	6	8	0	0	0	0	0	
177	49	1	8	8	21	8	0	0	0	0	
178	50	1	7	9	6	0	0	0	0	0	
179	51	1	7	11	0	8	0	0	0	0	
180	52	1	4	12	3	5	0	0	0	0	
181	53	1	0	10	6	2	2	0	0	0	
182	54	1	1	9	5	1	5	0	2	0	
183	55	1	1	3	0	0	2	0	4	0	
184	56	1	0	2	7	0	0	0	0	2	
185	57	1	0	2	3	0	5	0	0	7	
186	58	1	0	3	0	0	0	2	2	8	
187	59	1	1	10	0	8	0	2	4	0	
188	60	1	0	15	1	2	0	0	0	0	
189	61	1	0	24	10	5	0	2	0	0	
190	62	1	7	16	16	16	0	0	2	2	
191	63	1	8	7	20	0	6	5	13	7	
192	64	1	5	0	3	0	0	4	6	8	
193	65	1	3	0	4	4	0	10	3	5	
194	66	1	2	0	5	0	0	28	10	0	
195	67	1	1	0	0	2	0	30	12	4	
196	68	1	0	0	1	0	0	10	41	2	
197	69	1	0	0	5	0	1	9	51	9	
198	70	1	2	0	0	0	3	2	40	0	
199	71	1	2	0	0	0	0	11	27	0	
200	72	1	3	0	0	0	3	3	25	0	
201	73	1	2	0	0	0	0	11	4	0	
202	74	1	4	0	1	0	0	9	4	3	
203	75	1	2	0	1	0	0	0	0	2	
204	76	1	2	0	1	0	0	0	2	9	
205	77	1	1	6	8	0	0	0	5	4	
206	78	1	2	8	6	4	3	0	1	0	
207	79	1	2	7	0	3	0	0	0	4	
208	80	1	0	5	2	0	0	0	0	5	
209	81	1	0	3	4	0	0	0	0	7	
210	82	1	0	5	9	0	3	0	0	14	
211	83	1	0	4	8	2	0	0	8	9	
212	84	1	0	8	14	0	0	2	6	2	
213	85	1	0	22	14	0	0	3	3	0	
214	86	1	0	28	0	0	0	0	0	0	
215	87	1	0	15	3	0	0	0	2	0	
216	88	1	0	7	1	0	0	0	1	2	
217	89	1	0	9	0	0	0	0	0	2	
218	90	1	0	21	0	0	0	0	0	2	
219	91	1	0	22	2	0	0	0	8	1	
220	92	1	0	24	1	0	0	0	6	3	
221	93	1	0	39	6	0	0	0	0	3	
222	94	1	2	41	3	0	0	0	0	3	
223	95	1	2	45	0	3	0	0	0	4	
